PMID,AuthorN,AuthorForename,AuthorLastname,AuthorInitials,AuthorAffiliation
21843603,2,X,Wu,X,
21843603,3,L,Ren,L,
21843603,4,G,Liu,G,
21843603,5,L,Li,L,
21880018,1,Paul J,Meakin,PJ,"Division of Cardiovascular and Diabetes Medicine, Medical Research Institute, Ninewells Hospital and Medical School, University of Dundee, Dundee DD1 9SY, Scotland, U.K."
21880018,2,Alex J,Harper,AJ,
21880018,3,D Lee,Hamilton,DL,
21880018,4,Jennifer,Gallagher,J,
21880018,5,Alison D,McNeilly,AD,
21880018,6,Laura A,Burgess,LA,
21880018,7,Lobke M,Vaanholt,LM,
21880018,8,Kirsten A,Bannon,KA,
21880018,9,Judy,Latcham,J,
21880018,10,Ishrut,Hussain,I,
21880018,11,John R,Speakman,JR,
21880018,12,David R,Howlett,DR,
21880018,13,Michael L J,Ashford,ML,
21889954,1,Amanda,Gonzales,A,"Banner Sun Health Research Institute, Haldeman Laboratory of Molecular Diagnostics and Therapeutics, 10515 Santa Fe Drive, Sun City, AZ 85351, USA. Amanda.Gonzales@bannerhealth.com"
21889954,2,Boris,Decourt,B,
21889954,3,Aaron,Walker,A,
21889954,4,Rachel,Condjella,R,
21889954,5,Hikmet,Nural,H,
21889954,6,Marwan N,Sabbagh,MN,
21897006,1,Michela,Guglielmotto,M,"Department of Experimental Medicine and Oncology, General Pathology Section, University of Torino, Torino, Italy."
21897006,2,Debora,Monteleone,D,
21897006,3,Luca,Giliberto,L,
21897006,4,Michele,Fornaro,M,
21897006,5,Roberta,Borghi,R,
21897006,6,Elena,Tamagno,E,
21897006,7,Massimo,Tabaton,M,
21900882,1,Latha,Devi,L,"Center for Dementia Research, Nathan Kline Institute, Orangeburg, NY 10962, USA."
21900882,2,Masuo,Ohno,M,
21913112,1,Doo Yeon,Kim,DY,"Neurobiology of Disease Laboratory, Genetics and Aging Research Unit, MassGeneral Institute for Neurodegenerative Disease, Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, USA. dkim@helix.mgh.harvard.edu"
21913112,2,Dora M,Kovacs,DM,
21933711,1,Latha,Devi,L,"Center for Dementia Research, Nathan Kline Institute, Orangeburg, NY 10962, USA."
21933711,2,Masuo,Ohno,M,
21943123,1,Azzeme,Harun,A,"Collaborative Drug Discovery Research (CDDR) Group, Faculty of Pharmacy, Universiti Teknologi MARA (UiTM) Puncak Alam Campus, 42300 Bandar Puncak Alam, Selangor Darul Ehsan, Malaysia."
21943123,2,Richard Muhammad Johari,James,RM,
21943123,3,Siong Meng,Lim,SM,
21943123,4,Abu Bakar,Abdul Majeed,AB,
21943123,5,Anthony L J,Cole,AL,
21943123,6,Kalavathy,Ramasamy,K,
21965313,1,Christiane,Reitz,C,"The Gertrude H. Sergievsky Center, The Taub Institute for Research on Alzheimer's Disease and The Aging Brain New York, NY, USA. cr2101@columbia.edu"
21978728,1,Hong,Jiang,H,"Center for Advanced Therapeutic Strategies for Brain Disorders, Roskamp Institute, Sarasota, FL 34243, USA. yshen@rfdn.org."
21978728,2,Harald,Hampel,H,
21978728,3,David,Prvulovic,D,
21978728,4,Anders,Wallin,A,
21978728,5,Kaj,Blennow,K,
21978728,6,Rena,Li,R,
21978728,7,Yong,Shen,Y,
21986588,1,Simone,Bertini,S,"Dipartimento di Scienze Farmaceutiche, Università di Pisa, Via Bonanno 6, 56126 Pisa, Italy."
21986588,2,Valentina,Asso,V,
21986588,3,Elisa,Ghilardi,E,
21986588,4,Carlotta,Granchi,C,
21986588,5,Clementina,Manera,C,
21986588,6,Filippo,Minutolo,F,
21986588,7,Giuseppe,Saccomanni,G,
21986588,8,Andrea,Bortolato,A,
21986588,9,Jonathan,Mason,J,
21986588,10,Stefano,Moro,S,
21986588,11,Marco,Macchia,M,
21992804,1,Analia,Sorribas,A,"Department of Chemistry, University of Hawai'i at Manoa, Honolulu, HI 96822, United States."
21992804,2,Jorge I,Jiménez,JI,
21992804,3,Wesley Y,Yoshida,WY,
21992804,4,Philip G,Williams,PG,
22002568,1,Ying,Wang,Y,"State Key Laboratory of Drug Research, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, People's Republic of China."
22002568,2,Xi Can,Tang,XC,
22002568,3,Hai Yan,Zhang,HY,
22002808,1,Elena,Tamagno,E,"General Pathology Section, Department of Experimental Medicine and Oncology, University of Torino, Corso Raffaello 30, 10125 Turin, Italy. elena.tamagno@unito.it"
22002808,2,Michela,Guglielmotto,M,
22002808,3,Debora,Monteleone,D,
22002808,4,Massimo,Tabaton,M,
22008266,1,Jin-Wu,Zhou,JW,"Beijing Institute of Pharmacology and Toxicology, Beijing, China."
22008266,2,Xiao-Rui,Cheng,XR,
22008266,3,Jun-Ping,Cheng,JP,
22008266,4,Wen-Xia,Zhou,WX,
22008266,5,Yong-xiang,Zhang,YX,
22027023,1,Shinsuke,Marumoto,S,"Department of Applied Chemistry, Kinki University, Japan."
22027023,2,Mitsuo,Miyazawa,M,
22032649,1,Ying,Hou,Y,"Department of Neurology, Xiangya Hospital, Central South University, Changsha, Hunan, People's Republic of China."
22032649,2,Qidong,Yang,Q,
22032649,3,Lin,Zhou,L,
22032649,4,Xiaoping,Du,X,
22032649,5,Min,Li,M,
22032649,6,Mei,Yuan,M,
22032649,7,Zhiwen,Zhou,Z,
22032649,8,Zhenguo,Li,Z,
22036569,1,Jing,Wu,J,"Solomon H. Snyder Department of Neuroscience, Johns Hopkins University School of Medicine, Baltimore, MD 21205, USA."
22036569,2,Ronald S,Petralia,RS,
22036569,3,Hideaki,Kurushima,H,
22036569,4,Hiral,Patel,H,
22036569,5,Mi-young,Jung,MY,
22036569,6,Lenora,Volk,L,
22036569,7,Shoaib,Chowdhury,S,
22036569,8,Jason D,Shepherd,JD,
22036569,9,Marlin,Dehoff,M,
22036569,10,Yueming,Li,Y,
22036569,11,Dietmar,Kuhl,D,
22036569,12,Richard L,Huganir,RL,
22036569,13,Donald L,Price,DL,
22036569,14,Robert,Scannevin,R,
22036569,15,Juan C,Troncoso,JC,
22036569,16,Philip C,Wong,PC,
22036569,17,Paul F,Worley,PF,
22044119,1,Taleb H,Al-Tel,TH,"College of Pharmacy and Sharjah Institute for Medical Research, University of Sharjah, P.O. Box 27272, Sharjah, UAE. taltal@sharjah.ac.ae"
22044119,2,Mohammad H,Semreen,MH,
22044119,3,Raed A,Al-Qawasmeh,RA,
22044119,4,Marco F,Schmidt,MF,
22044119,5,Raafat,El-Awadi,R,
22044119,6,Mustafa,Ardah,M,
22044119,7,Rania,Zaarour,R,
22044119,8,Shashidhar N,Rao,SN,
22044119,9,Omar,El-Agnaf,O,
22045484,1,Seyyed Hani,Moussavi Nik,SH,"Discipline of Genetics, School of Molecular and Biomedical Sciences, The University of Adelaide, SA, Australia. seyyed.moussavinik@adelaide.edu.au"
22045484,2,Lachlan,Wilson,L,
22045484,3,Morgan,Newman,M,
22045484,4,Kevin,Croft,K,
22045484,5,Trevor A,Mori,TA,
22045484,6,Ian,Musgrave,I,
22045484,7,Michael,Lardelli,M,
22046282,1,Jaya R P,Prasanthi,JR,"Department of Pharmacology, Physiology and Therapeutics, University of North Dakota School of Medicine and Health Sciences, Grand Forks, North Dakota, United States of America."
22046282,2,Tyler,Larson,T,
22046282,3,Jared,Schommer,J,
22046282,4,Othman,Ghribi,O,
22047170,1,Jie,Zhao,J,"Department of Cell & Molecular Biology, Northwestern University Feinberg School of Medicine, Chicago, Illinois 60611, USA."
22047170,2,Tracy,O'Connor,T,
22047170,3,Robert,Vassar,R,
22049418,1,Paola,Giusti-Rodríguez,P,"Department of Brain and Cognitive Sciences, Picower Institute for Learning and Memory, and Howard Hughes Medical Institute, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA."
22049418,2,Jun,Gao,J,
22049418,3,Johannes,Gräff,J,
22049418,4,Damien,Rei,D,
22049418,5,Takahiro,Soda,T,
22049418,6,Li-Huei,Tsai,LH,
22050745,1,M,Bajda,M,"Jagiellonian University, Medical College, Chair of Pharmaceutical Chemistry, Department of Physicochemical Drug Analysis, 30-688 Kraków, Medyczna 9, Poland."
22050745,2,N,Guzior,N,
22050745,3,M,Ignasik,M,
22050745,4,B,Malawska,B,
22052506,1,Viktorija,Velanac,V,"Department of Neurogenetics, Max-Planck-Institute of Experimental Medicine, Goettingen, Germany."
22052506,2,Tilmann,Unterbarnscheidt,T,
22052506,3,Wilko,Hinrichs,W,
22052506,4,Maike N,Gummert,MN,
22052506,5,Tobias M,Fischer,TM,
22052506,6,Moritz J,Rossner,MJ,
22052506,7,Amelia,Trimarco,A,
22052506,8,Veronica,Brivio,V,
22052506,9,Carla,Taveggia,C,
22052506,10,Michael,Willem,M,
22052506,11,Christian,Haass,C,
22052506,12,Wiebke,Möbius,W,
22052506,13,Klaus-Armin,Nave,KA,
22052506,14,Markus H,Schwab,MH,
22074738,1,Christopher J,Holler,CJ,"Department of Molecular and Cellular Biochemistry, University of Kentucky, Lexington, Kentucky 40536-0230, USA."
22074738,2,Robin L,Webb,RL,
22074738,3,Ashley L,Laux,AL,
22074738,4,Tina L,Beckett,TL,
22074738,5,Dana M,Niedowicz,DM,
22074738,6,Rachel R,Ahmed,RR,
22074738,7,Yinxing,Liu,Y,
22074738,8,Christopher R,Simmons,CR,
22074738,9,Amy L S,Dowling,AL,
22074738,10,Angela,Spinelli,A,
22074738,11,Moshe,Khurgel,M,
22074738,12,Steven,Estus,S,
22074738,13,Elizabeth,Head,E,
22074738,14,Louis B,Hersh,LB,
22074738,15,M Paul,Murphy,MP,
22076470,1,Orr,Ravitz,O,"SimBioSys Inc., 135 Queen's Plate Dr. Unit 520, Toronto, ON, M9W 6V1, Canada. ravitz@simbiosys.com"
22076470,2,Zsolt,Zsoldos,Z,
22076470,3,Aniko,Simon,A,
22090477,1,Patrick C,May,PC,"Lilly Research Laboratories, Eli Lilly & Co., Indianapolis, Indiana 46285, USA."
22090477,2,Robert A,Dean,RA,
22090477,3,Stephen L,Lowe,SL,
22090477,4,Ferenc,Martenyi,F,
22090477,5,Scott M,Sheehan,SM,
22090477,6,Leonard N,Boggs,LN,
22090477,7,Scott A,Monk,SA,
22090477,8,Brian M,Mathes,BM,
22090477,9,Dustin J,Mergott,DJ,
22090477,10,Brian M,Watson,BM,
22090477,11,Stephanie L,Stout,SL,
22090477,12,David E,Timm,DE,
22090477,13,Elizabeth,Smith Labell,E,
22090477,14,Celedon R,Gonzales,CR,
22090477,15,Masako,Nakano,M,
22090477,16,Stanford S,Jhee,SS,
22090477,17,Mark,Yen,M,
22090477,18,Larry,Ereshefsky,L,
22090477,19,Terry D,Lindstrom,TD,
22090477,20,David O,Calligaro,DO,
22090477,21,Patrick J,Cocke,PJ,
22090477,22,D,Greg Hall,D,
22090477,23,Stuart,Friedrich,S,
22090477,24,Martin,Citron,M,
22090477,25,James E,Audia,JE,
22105352,1,Lei,Wen,L,"Institute of Molecular Medicine and Genetics, Medical College of Georgia, Georgia Health Sciences University, Augusta, GA 30912, USA."
22105352,2,Fu-Lei,Tang,FL,
22105352,3,Yan,Hong,Y,
22105352,4,Shi-Wen,Luo,SW,
22105352,5,Chun-Lei,Wang,CL,
22105352,6,Wanxia,He,W,
22105352,7,Chengyong,Shen,C,
22105352,8,Ji-Ung,Jung,JU,
22105352,9,Fei,Xiong,F,
22105352,10,Dae-hoon,Lee,DH,
22105352,11,Quan-Guang,Zhang,QG,
22105352,12,Darrell,Brann,D,
22105352,13,Tae-Wan,Kim,TW,
22105352,14,Riqiang,Yan,R,
22105352,15,Lin,Mei,L,
22105352,16,Wen-Cheng,Xiong,WC,
22107706,1,Dong-Young,Choi,DY,"College of Pharmacy and MRC, Chungbuk National University, 12 Gaesin-dong, Heungduk-gu, Cheongju, Chungbuk 361-763, Republic of Korea."
22107706,2,Jae Woong,Lee,JW,
22107706,3,Guihua,Lin,G,
22107706,4,Yong Kyung,Lee,YK,
22107706,5,Yeon Hee,Lee,YH,
22107706,6,Im Seop,Choi,IS,
22107706,7,Sang Bae,Han,SB,
22107706,8,Jae Kyung,Jung,JK,
22107706,9,Young Hee,Kim,YH,
22107706,10,Ki Ho,Kim,KH,
22107706,11,Ki-Wan,Oh,KW,
22107706,12,Jin Tae,Hong,JT,
22107706,13,Moon Soon,Lee,MS,
22113787,1,Santos,Fustero,S,"Departamento de Química Orgánica, Universidad de Valencia, 46100 Burjassot, Spain. santos.fustero@uv.es"
22113787,2,Ana C,Cuñat,AC,
22113787,3,Sonia,Flores,S,
22113787,4,Claribel,Báez,C,
22113787,5,Judit,Oliver,J,
22113787,6,Michael,Cynamon,M,
22113787,7,Michael,Gütschow,M,
22113787,8,Matthias D,Mertens,MD,
22113787,9,Oscar,Delgado,O,
22113787,10,Gary,Tresadern,G,
22113787,11,Andrés A,Trabanco,AA,
22120156,1,Johannes,Prox,J,"Biochemical Institute, Christian-Albrechts-University Kiel, Olshausenstr. 40, 24098 Kiel, Germany."
22120156,2,Andrea,Rittger,A,
22120156,3,Paul,Saftig,P,
22122287,1,Patty C,Kandalepas,PC,"Northwestern University, Feinberg School of Medicine, Department of Cell and Molecular Biology, Chicago, Illinois, USA."
22122287,2,Robert,Vassar,R,"Northwestern University, Feinberg School of Medicine, Department of Cell and Molecular Biology, Chicago, Illinois, USA."
22122349,1,Xiulian,Sun,X,"Townsend Family Laboratories, Department of Psychiatry, Brain Research Center, Graduate Program in Neuroscience, The University of British Columbia, Vancouver, BC, Canada."
22122349,2,Kelley,Bromley-Brits,K,"Townsend Family Laboratories, Department of Psychiatry, Brain Research Center, Graduate Program in Neuroscience, The University of British Columbia, Vancouver, BC, Canada."
22122349,3,Weihong,Song,W,"Townsend Family Laboratories, Department of Psychiatry, Brain Research Center, Graduate Program in Neuroscience, The University of British Columbia, Vancouver, BC, Canada."
22142688,1,Vasudevan,Mani,V,"Brain Research Laboratory, Faculty of Pharmacy, Puncak Alam Campus, Universiti Teknologi MARA (UiTM), 42300 Bandar Puncak Alam, Selangor, Malaysia. vasudevan@puncakalam.uitm.edu.my"
22142688,2,Kalavathy,Ramasamy,K,
22142688,3,Aliya,Ahmad,A,
22142688,4,Milind,Parle,M,
22142688,5,Syed Adnan Ali,Shah,SA,
22142688,6,Abu Bakar Abdul,Majeed,AB,
22166205,1,Catherine Jeonghae,Byun,CJ,"Department of Molecular Medicine, Ewha Womans University Medical School, Seoul, South Korea."
22166205,2,Jungwon,Seo,J,
22166205,3,Sangmee Ahn,Jo,SA,
22166205,4,Yoon Jung,Park,YJ,
22166205,5,Maja,Klug,M,
22166205,6,Michael,Rehli,M,
22166205,7,Moon-Ho,Park,MH,
22166205,8,Inho,Jo,I,
22166376,1,Li-Min,Chen,LM,"Department of Neurology, Fujian Institute of Geriatrics, the Affiliated Union Hospital of Fujian Medical University, People's Republic of China."
22166376,2,Zhi-Ying,Lin,ZY,
22166376,3,Yuan-Gui,Zhu,YG,
22166376,4,Nan,Lin,N,
22166376,5,Jing,Zhang,J,
22166376,6,Xiao-Dong,Pan,XD,
22166376,7,Xiao-Chun,Chen,XC,
22171895,1,Jiangli,Tan,J,"Department of Pathology, and Mental Health Research Institute, The University of Melbourne, Parkville, Australia."
22171895,2,Geneviève,Evin,G,
22178553,1,Yoshio,Hamada,Y,"Faculty of Pharmaceutical Sciences, Kobe Gakuin University, Minatojima, Chuo-ku, Kobe 650-8586, Japan; Center for Frontier Research in Medicinal Science, Kyoto Pharmaceutical University, Yamashina-ku, Kyoto 607-8412, Japan."
22178553,2,Harichandra D,Tagad,HD,
22178553,3,Yoshinori,Nishimura,Y,
22178553,4,Shoichi,Ishiura,S,
22178553,5,Yoshiaki,Kiso,Y,
22178568,1,Marong,Fang,M,"Institute of Anatomy and Cell Biology, Medical College, Zhejiang University, Hangzhou, China."
22178568,2,Jing,Wang,J,
22178568,3,Xiaobing,Zhang,X,
22178568,4,Yu,Geng,Y,
22178568,5,Zhiying,Hu,Z,
22178568,6,John A,Rudd,JA,
22178568,7,Shucai,Ling,S,
22178568,8,Wei,Chen,W,
22178568,9,Shu,Han,S,
22178732,1,H-S,Kim,HS,"Plant Systemic Engineering Research Center, KRIBB, Gwahangno 125, Yuseong-gu, Daejeon 305-806, Republic of Korea."
22178732,2,J-W,Youm,JW,
22178732,3,K-B,Moon,KB,
22178732,4,J-H,Ha,JH,
22178732,5,Y-H,Kim,YH,
22178732,6,H,Joung,H,
22178732,7,J-H,Jeon,JH,
22188425,1,Ester,Aso,E,"Institut de Neuropatologia, IDIBELL-Hospital Universitari de Bellvitge, Universitat de Barcelona, Hospitalet de Llobregat; Centro de Investigación Biomédica en Red de Enfermedades Neurodegenerativas (CIBERNED), Barcelona, Spain."
22188425,2,Selene,Lomoio,S,
22188425,3,Irene,López-González,I,
22188425,4,Laura,Joda,L,
22188425,5,Margarita,Carmona,M,
22188425,6,Núria,Fernández-Yagüe,N,
22188425,7,Jesús,Moreno,J,
22188425,8,Salvador,Juvés,S,
22188425,9,Aurora,Pujol,A,
22188425,10,Reinald,Pamplona,R,
22188425,11,Manuel,Portero-Otin,M,
22188425,12,Virginia,Martín,V,
22188425,13,Mario,Díaz,M,
22188425,14,Isidro,Ferrer,I,
22194329,1,Yechun,Xu,Y,"Drug Discovery and Design Center, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, People's Republic of China. ycxu@mail.shcnc.ac.cn"
22194329,2,Min-jun,Li,MJ,
22194329,3,Harry,Greenblatt,H,
22194329,4,Wuyan,Chen,W,
22194329,5,Aviv,Paz,A,
22194329,6,Orly,Dym,O,
22194329,7,Yoav,Peleg,Y,
22194329,8,Tiantian,Chen,T,
22194329,9,Xu,Shen,X,
22194329,10,Jianhua,He,J,
22194329,11,Hualiang,Jiang,H,
22194329,12,Israel,Silman,I,
22194329,13,Joel L,Sussman,JL,
22204380,1,Tharinda W,Rajapaksha,TW,"Department of Cell and Molecular Biology, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA."
22204380,2,William A,Eimer,WA,
22204380,3,Thomas C,Bozza,TC,
22204380,4,Robert,Vassar,R,
22212065,1,Dong-Young,Choi,DY,"College of Pharmacy and MRC, Chungbuk National University, Heungduk-gu, Cheongju, Chungbuk, South Korea."
22212065,2,Jae Woong,Lee,JW,
22212065,3,Jin,Peng,J,
22212065,4,Young Jung,Lee,YJ,
22212065,5,Jin-Yi,Han,JY,
22212065,6,Yeon Hee,Lee,YH,
22212065,7,Im Seop,Choi,IS,
22212065,8,Sang Bae,Han,SB,
22212065,9,Jae Kyung,Jung,JK,
22212065,10,Woong Soo,Lee,WS,
22212065,11,Seung-Ho,Lee,SH,
22212065,12,Byoung-Mog,Kwon,BM,
22212065,13,Ki-Wan,Oh,KW,
22212065,14,Jin Tae,Hong,JT,
22212137,1,Mingming,Zhang,M,"Townsend Family Laboratories, Department of Psychiatry, Brain Research Center, Graduate Program in Neuroscience, The University of British Columbia, Vancouver, Canada."
22212137,2,Yu,Deng,Y,
22212137,3,Yawen,Luo,Y,
22212137,4,Shuting,Zhang,S,
22212137,5,Haiyan,Zou,H,
22212137,6,Fang,Cai,F,
22212137,7,Keiji,Wada,K,
22212137,8,Weihong,Song,W,
22221883,1,Andrea,Fuso,A,"Department of Surgery P. Valdoni, Via Antonio Scarpa, 14-00161, Sapienza University of Rome, Italy. andrea.fuso@uniroma1.it"
22221883,2,Vincenzina,Nicolia,V,
22221883,3,Laura,Ricceri,L,
22221883,4,Rosaria A,Cavallaro,RA,
22221883,5,Elisa,Isopi,E,
22221883,6,Franco,Mangia,F,
22221883,7,Maria Teresa,Fiorenza,MT,
22221883,8,Sigfrido,Scarpa,S,
22222157,1,Shinsuke,Marumoto,S,"Department of Applied Chemistry, Faculty of Science and Engineering, Kinki University, Kowakae, Higashiosaka-shi, Osaka 577-8502, Japan."
22222157,2,Mitsuo,Miyazawa,M,
22223639,1,Katherine R,Sadleir,KR,"Department of Cell and Molecular Biology, Feinberg School of Medicine, Northwestern University, Chicago, Illinois 60611, USA."
22223639,2,Robert,Vassar,R,
22223749,1,Jung A,Woo,JA,"World Class University-Neurocytomics Program, Seoul National University College of Medicine, Seoul, Korea."
22223749,2,Seung-Eon,Roh,SE,
22223749,3,Madepalli K,Lakshmana,MK,
22223749,4,David E,Kang,DE,
22265658,1,Xiao-Xin,Yan,XX,"Department of Anatomy and Neurobiology, Central South University Xiangya School of Medicine, Changsha, Hunan 410013, China. yanxiaoxin@csu.edu.cn"
22265658,2,Yan,Cai,Y,
22265658,3,Xue-Mei,Zhang,XM,
22265658,4,Xue-Gang,Luo,XG,
22265658,5,Huaibin,Cai,H,
22265658,6,Gregory M,Rose,GM,
22265658,7,Peter R,Patrylo,PR,
22267734,1,Yun,Ding,Y,"Department of Medicine, University of Wisconsin-Madison, Madison, Wisconsin 53705, USA."
22267734,2,Mi Hee,Ko,MH,
22267734,3,Mariana,Pehar,M,
22267734,4,Frank,Kotch,F,
22267734,5,Noel R,Peters,NR,
22267734,6,Yun,Luo,Y,
22267734,7,Shahriar M,Salamat,SM,
22267734,8,Luigi,Puglielli,L,
22269164,1,Tao,Wang,T,"Department of Pathophysiology, China Medical University, Shenyang, PR China."
22269164,2,Chun-Yan,Wang,CY,
22269164,3,Zhong-Yan,Shan,ZY,
22269164,4,Wei-Ping,Teng,WP,
22269164,5,Zhan-You,Wang,ZY,
22272179,1,Timo,Grimmer,T,"Department of Psychiatry and Psychotherapy, Klinikum rechts der Isar, Technische Universität München, Ismaninger Street 22, 81675 München, Germany."
22272179,2,Panagiotis,Alexopoulos,P,
22272179,3,Amalia,Tsolakidou,A,
22272179,4,Liang-Hao,Guo,LH,
22272179,5,Gjermund,Henriksen,G,
22272179,6,Behrooz H,Yousefi,BH,
22272179,7,Hans,Förstl,H,
22272179,8,Christian,Sorg,C,
22272179,9,Alexander,Kurz,A,
22272179,10,Alexander,Drzezga,A,
22272179,11,Robert,Perneczky,R,
22272629,1,Syed Waseem,Bihaqi,SW,"Department of Biomedical & Pharmaceutical Sciences, Interdisciplinary Neuroscience Program, University of Rhode Island, Kingston, RI 02881, USA."
22272629,2,Nasser H,Zawia,NH,
22285895,1,Charlotte,Delay,C,"Centre de Recherche du CHUQ, Axe Neurosciences, Quebec City, Quebec, Canada G1V4G2."
22285895,2,Wim,Mandemakers,W,
22285895,3,Sébastien S,Hébert,SS,
22294787,1,Madepalli K,Lakshmana,MK,"Section of Neurobiology, Torrey Pines Institute for Molecular Studies, Port Saint Lucie, Florida, USA. mlakshmana@tpims.org"
22294787,2,Crystal D,Hayes,CD,
22294787,3,Steven P,Bennett,SP,
22294787,4,Elisabetta,Bianchi,E,
22294787,5,Konda M,Reddy,KM,
22294787,6,Edward H,Koo,EH,
22294787,7,David E,Kang,DE,
22299711,1,Rong,Wang,R,"School of Life Science and Technology, Beijing Institute of Technology, Haidian District, Beijing 100081, China."
22299711,2,Zhengxin,Ying,Z,
22299711,3,Juan,Zhao,J,
22299711,4,Yanyan,Zhang,Y,
22299711,5,Ran,Wang,R,
22299711,6,Hong,Lu,H,
22299711,7,Yulin,Deng,Y,
22299711,8,Weihong,Song,W,
22299711,9,Hong,Qing,H,
22303960,1,Jean-François,Fisette,JF,"Center for Neurologic Diseases, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA."
22303960,2,Daniel R,Montagna,DR,
22303960,3,Mihaela-Rita,Mihailescu,MR,
22303960,4,Michael S,Wolfe,MS,
22306812,1,François,Mouton-Liger,F,"Service d'Histologie et de Biologie du Vieillissement, APHP, Groupe Hospitalier Lariboisière Fernand-Widal Saint-Louis, Université Paris VII, Paris, France. francois.mouton-liger@inserm.fr"
22306812,2,Claire,Paquet,C,
22306812,3,Julien,Dumurgier,J,
22306812,4,Constantin,Bouras,C,
22306812,5,Laurent,Pradier,L,
22306812,6,Françoise,Gray,F,
22306812,7,Jacques,Hugon,J,
22325686,1,Paul,Sheean,P,"CSIRO Food and Nutritional Sciences, Werribee, Australia."
22325686,2,Manoj K,Rout,MK,
22325686,3,Richard J,Head,RJ,
22325686,4,Louise E,Bennett,LE,
22326856,1,Alessandra,Bulbarelli,A,"Department of Experimental Medicine, University of Milano-Bicocca via Cadore 48, 20900 Monza, MI, Italy. alessandra.bulbarelli@unimib.it"
22326856,2,Elena,Lonati,E,
22326856,3,Anna,Brambilla,A,
22326856,4,Antonina,Orlando,A,
22326856,5,Emanuela,Cazzaniga,E,
22326856,6,Fabrizio,Piazza,F,
22326856,7,Carlo,Ferrarese,C,
22326856,8,Massimo,Masserini,M,
22326856,9,Giulio,Sancini,G,
22328928,1,Niklas,Mattsson,N,"Clinical Neurochemistry Laboratory, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, The Sahlgrenska Academy, University of Gothenburg, Mölndal, Sweden. niklas.mattsson@neuro.gu.se"
22328928,2,Lawrence,Rajendran,L,
22328928,3,Henrik,Zetterberg,H,
22328928,4,Mikael,Gustavsson,M,
22328928,5,Ulf,Andreasson,U,
22328928,6,Maria,Olsson,M,
22328928,7,Gunnar,Brinkmalm,G,
22328928,8,Johan,Lundkvist,J,
22328928,9,Laura H,Jacobson,LH,
22328928,10,Ludovic,Perrot,L,
22328928,11,Ulf,Neumann,U,
22328928,12,Herman,Borghys,H,
22328928,13,Marc,Mercken,M,
22328928,14,Deborah,Dhuyvetter,D,
22328928,15,Fredrik,Jeppsson,F,
22328928,16,Kaj,Blennow,K,
22328928,17,Erik,Portelius,E,
22337825,1,Mark S,Kindy,MS,"Department of Neurosciences, Medical University of South Carolina, Charleston, SC 29425, USA. kindyms@musc.edu"
22337825,2,Jin,Yu,J,
22337825,3,Hong,Zhu,H,
22337825,4,Salim S,El-Amouri,SS,
22337825,5,Vivian,Hook,V,
22337825,6,Gregory R,Hook,GR,
22350541,1,Christoffer,Rosén,C,"Clinical Neurochemistry Laboratory, Department of Psychiatry and Neurochemistry, Institute of Neuroscience and Physiology, The Sahlgrenska Academy at the University of Gothenburg, Mölndal, Sweden."
22350541,2,Ulf,Andreasson,U,
22350541,3,Niklas,Mattsson,N,
22350541,4,Jan,Marcusson,J,
22350541,5,Lennart,Minthon,L,
22350541,6,Niels,Andreasen,N,
22350541,7,Kaj,Blennow,K,
22350541,8,Henrik,Zetterberg,H,
22351782,1,Yingjun,Zhao,Y,"Fujian Provincial Key Laboratory of Neurodegenerative Disease and Aging Research, College of Medicine, Xiamen University, Xiamen, Fujian 361005, China."
22351782,2,Yunshu,Wang,Y,
22351782,3,Jin,Hu,J,
22351782,4,Xian,Zhang,X,
22351782,5,Yun-Wu,Zhang,YW,
22355745,1,Luxiang,Cao,L,"Mass General Institute of Neurodegenerative Disease, Dept. of Neurology, Harvard Medical School , Boston, MA, USA."
22355745,2,Gregory T,Rickenbacher,GT,
22355745,3,Steve,Rodriguez,S,
22355745,4,Thomas W,Moulia,TW,
22355745,5,Mark W,Albers,MW,
22363289,1,Bastian,Dislich,B,"German Center for Neurodegenerative Diseases (DZNE) Munich, Germany."
22363289,2,Stefan F,Lichtenthaler,SF,
22363722,1,Victoria,Lewis,V,"Institute of Molecular and Cellular Biology, Faculty of Biological Sciences, University of Leeds, Leeds, United Kingdom."
22363722,2,Isobel J,Whitehouse,IJ,
22363722,3,Herbert,Baybutt,H,
22363722,4,Jean C,Manson,JC,
22363722,5,Steven J,Collins,SJ,
22363722,6,Nigel M,Hooper,NM,
22380629,1,Heinrich,Rueeger,H,"Department of Global Discovery Chemistry, Institutes for BioMedical Research, Novartis Pharma AG, CH-4057 Basel, Switzerland. heinrich.rueeger@novartis.com"
22380629,2,Rainer,Lueoend,R,
22380629,3,Olivier,Rogel,O,
22380629,4,Jean-Michel,Rondeau,JM,
22380629,5,Henrik,Möbitz,H,
22380629,6,Rainer,Machauer,R,
22380629,7,Laura,Jacobson,L,
